60	0.111	0	0	0.111
70	0.112	0	0	0.112
80	0.114	0	0	0.114
90	0.114	0	0	0.114
100	0.112	0	0	0.112
120	0.109	0	0	0.109
140	0.104	0	0	0.104
160	0.0987	0	0	0.0987
180	0.0937	0	0	0.0937
200	0.0900	0	0	0.0900
250	0.0797	0	0	0.0797
300	0.0723	0.131e-5	0	0.0723
400	0.0603	4.08e-5	0	0.0603
500	0.0521	7.46e-5	0	0.0521
600	0.0460	9.61e-5	0	0.0461
700	0.0410	11.4e-5	0.497e-5	0.0411
800	0.0370	12.0e-5	0.729e-5	0.0372
900	0.0340	12.4e-5	0.940e-5	0.0341
1000	0.0314	12.8e-5	1.12e-5	0.0315
1500	0.0230	12.1e-5	1.50e-5	0.0231
2000	0.0183	11.0e-5	1.57e-5	0.0184
3000	0.0132	8.81e-5	1.45e-5	0.0133
4000	0.0103	7.28e-5	1.30e-5	0.0104
5000	0.00855	6.21e-5	1.16e-5	0.00862
6000	0.00733	5.42e-5	1.06e-5	0.00739
7000	0.00644	4.83e-5	0.965e-5	0.00650
8000	0.00576	4.36e-5	0.890e-5	0.00581
9000	0.00497	3.98e-5	0.828e-5	0.00502
10000	0.00478	3.67e-5	0.773e-5	0.00482
