 14000  9  0  0.00000+ 0 910714  2  0.00000+ 0  0.00000+ 0  0.00000+ 0  
83  0  0  0.00000+ 0  0.00000+ 0  0.00000+ 0  0.00000+ 0  0.00000+ 0
 1.00000- 5 1.36747+ 7
 1.12500- 5 2.34050+ 7
 1.31250- 5 4.03318+ 7
 1.36300- 5 4.49585+ 7
 1.38010- 5 4.68457+ 7
 1.41010- 5 5.02160+ 7
 1.45510- 5 5.54402+ 7
 1.50000- 5 6.08427+ 7
 1.56250- 5 6.78328+ 7
 1.67190- 5 8.00183+ 7
 1.75000- 5 8.95501+ 7
 1.83590- 5 9.99453+ 7
 2.00000- 5 1.21353+ 8
 2.25000- 5 1.59234+ 8
 2.50000- 5 1.97277+ 8
 2.62500- 5 2.18724+ 8
 3.00000- 5 2.81223+ 8
 3.50000- 5 3.65253+ 8
 4.00000- 5 4.50472+ 8
 5.00000- 5 5.82793+ 8
 6.00000- 5 6.75773+ 8
 7.00000- 5 7.26804+ 8
 8.00000- 5 7.39447+ 8
 1.00000- 4 7.14329+ 8
 1.07980- 4 6.93395+ 8
 1.08640- 4 6.90916+ 8
 1.08670- 4 6.90792+ 8
 1.09320- 4 6.88608+ 8
 1.09930- 4 6.86538+ 8
 1.10590- 4 6.84375+ 8
 1.11180- 4 6.82428+ 8
 1.11820- 4 6.80419+ 8
 1.13610- 4 6.74858+ 8
 1.14200- 4 6.73107+ 8
 1.25000- 4 6.43746+ 8
 1.31800- 4 6.26392+ 8
 1.32100- 4 6.25635+ 8
 1.40900- 4 6.04509+ 8
 1.41050- 4 6.04168+ 8
 1.50000- 4 5.83725+ 8
 1.51550- 4 5.80471+ 8
 1.54580- 4 5.74581+ 8
 1.60260- 4 5.63885+ 8
 1.62500- 4 5.59774+ 8
 1.70190- 4 5.45460+ 8
 1.75000- 4 5.36840+ 8
 1.81250- 4 5.26113+ 8
 1.85100- 4 5.19327+ 8
 2.00000- 4 4.94317+ 8
 2.25000- 4 4.59846+ 8
 2.50000- 4 4.26416+ 8
 2.62500- 4 4.13323+ 8
 3.00000- 4 3.73993+ 8
 3.50000- 4 3.31772+ 8
 4.00000- 4 2.95074+ 8
 4.50000- 4 2.66576+ 8
 5.00000- 4 2.43440+ 8
 5.50000- 4 2.24113+ 8
 6.00000- 4 2.06038+ 8
 7.00000- 4 1.77831+ 8
 8.00000- 4 1.56745+ 8
 9.00000- 4 1.40435+ 8
 1.00000- 3 1.27267+ 8
 1.25000- 3 1.03620+ 8
 1.50000- 3 8.77602+ 7
 1.75000- 3 7.63427+ 7
 1.82850- 3 7.33958+ 7
 1.87140- 3 7.18841+ 7
 1.93570- 3 6.97333+ 7
 2.00000- 3 6.77114+ 7
 2.12500- 3 6.43519+ 7
 2.23440- 3 6.15212+ 7
 2.25000- 3 6.11256+ 7
 2.42580- 3 5.71855+ 7
 2.50000- 3 5.55777+ 7
 2.62500- 3 5.31366+ 7
 2.71290- 3 5.16295+ 7
 3.00000- 3 4.69195+ 7
 3.50000- 3 4.06028+ 7
 4.00000- 3 3.56973+ 7
 4.50000- 3 3.19352+ 7
 5.00000- 3 2.86778+ 7
 5.50000- 3 2.60739+ 7
 6.00000- 3 2.38822+ 7
 7.00000- 3 2.05568+ 7
 8.00000- 3 1.80603+ 7
 9.00000- 3 1.61265+ 7
 1.00000- 2 1.45624+ 7
 1.12500- 2 1.30085+ 7
 1.25000- 2 1.17480+ 7
 1.31250- 2 1.12119+ 7
 1.50000- 2 9.90716+ 6
 1.75000- 2 8.59190+ 6
 2.00000- 2 7.59190+ 6
 2.25000- 2 6.84382+ 6
 2.50000- 2 6.23996+ 6
 2.62500- 2 5.98176+ 6
 3.00000- 2 5.32309+ 6
 3.50000- 2 4.65392+ 6
 4.00000- 2 4.14263+ 6
 4.50000- 2 3.74058+ 6
 5.00000- 2 3.41068+ 6
 5.50000- 2 3.14007+ 6
 6.00000- 2 2.90984+ 6
 7.00000- 2 2.54427+ 6
 8.00000- 2 2.26500+ 6
 9.00000- 2 2.04646+ 6
 1.00000- 1 1.89093+ 6
 1.25000- 1 1.58869+ 6
 1.50000- 1 1.38554+ 6
 1.75000- 1 1.23504+ 6
 2.00000- 1 1.13088+ 6
 2.50000- 1 9.77600+ 5
 3.00000- 1 8.77506+ 5
 3.50000- 1 8.05977+ 5
 4.00000- 1 7.56192+ 5
 4.50000- 1 7.15387+ 5
 5.00000- 1 6.80341+ 5
 5.50000- 1 6.50428+ 5
 6.00000- 1 6.27842+ 5
 7.00000- 1 5.95436+ 5
 8.00000- 1 5.68226+ 5
 9.00000- 1 5.45657+ 5
 1.00000+ 0 5.30214+ 5
 1.25000+ 0 5.01599+ 5
 1.50000+ 0 4.82233+ 5
 1.75000+ 0 4.71395+ 5
 2.00000+ 0 4.62024+ 5
 2.50000+ 0 4.46314+ 5
 3.00000+ 0 4.35256+ 5
 3.50000+ 0 4.32024+ 5
 4.00000+ 0 4.29181+ 5
 4.50000+ 0 4.26637+ 5
 5.00000+ 0 4.24313+ 5
 5.50000+ 0 4.22183+ 5
 6.00000+ 0 4.20200+ 5
 7.00000+ 0 4.16608+ 5
 8.00000+ 0 4.13391+ 5
 9.00000+ 0 4.10830+ 5
 1.00000+ 1 4.08741+ 5
 1.25000+ 1 4.06249+ 5
 1.50000+ 1 4.04214+ 5
 1.75000+ 1 4.02493+ 5
 2.00000+ 1 4.01001+ 5
 2.50000+ 1 3.98496+ 5
 3.00000+ 1 3.95152+ 5
 3.50000+ 1 3.94682+ 5
 4.00000+ 1 3.93177+ 5
 4.50000+ 1 3.92801+ 5
 5.00000+ 1 3.91697+ 5
 5.50000+ 1 3.91729+ 5
 6.00000+ 1 3.91229+ 5
 7.00000+ 1 3.91255+ 5
 8.00000+ 1 3.90107+ 5
 9.00000+ 1 3.89813+ 5
 1.00000+ 2 3.88878+ 5
 1.25000+ 2 3.88853+ 5
 1.50000+ 2 3.87242+ 5
 1.75000+ 2 3.86866+ 5
 2.00000+ 2 3.85926+ 5
 2.50000+ 2 3.85658+ 5
 3.00000+ 2 3.84639+ 5
 3.50000+ 2 3.84371+ 5
 4.00000+ 2 3.83845+ 5
 4.50000+ 2 3.83436+ 5
 5.00000+ 2 3.82894+ 5
 5.50000+ 2 3.82923+ 5
 6.00000+ 2 3.82889+ 5
 7.00000+ 2 3.82900+ 5
 8.00000+ 2 3.82715+ 5
 9.00000+ 2 3.82702+ 5
 1.00000+ 3 3.82565+ 5
 1.25000+ 3 3.82783+ 5
 1.50000+ 3 3.82533+ 5
 1.75000+ 3 3.82565+ 5
 2.00000+ 3 3.82424+ 5
 2.50000+ 3 3.82682+ 5
 3.00000+ 3 3.82494+ 5
 3.50000+ 3 3.82518+ 5
 4.00000+ 3 3.82393+ 5
 4.50000+ 3 3.82205+ 5
 5.00000+ 3 3.81877+ 5
 5.50000+ 3 3.82025+ 5
 6.00000+ 3 3.82049+ 5
